Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2865460,Yes,Pakistan,Karachi,Adult,Surgical ICU,,Private University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,Yes,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Lectures,Lectures Handouts,Lectures Handouts,Videos Lectures Handouts Simulations,Handouts,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,I don't know,No,No,No,Yes,Yes,No,Yes,Yes,1,4,7,3,8,8,8,,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2872943,Yes,USA,Temple,Adult,Cardiac Thoracic ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds,,,,,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Daily,Yes,Yes,I don't know,Yes,Yes,Yes,Yes,Yes,No,Yes,I don't know,5,5,6,6,Not a Barrier,3,3,Multiple providers,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2872948,Yes,Canada,Multiple cities outside of Vancouver,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Hydromorphone Ketamine Methadone,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 4-6 days of admission,Every other day,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,1,5,2,3,8,7,4,Time for staff to learn,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2872953,Yes,USA,Lexington,Adult,Medical ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2872956,Yes,USA,Englewood,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Private,,21 - 30 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",No,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Compliant on most patients,Lectures Handouts,Handouts,Handouts,Lectures Handouts,Lectures Handouts Simulations,Lectures,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse,Training MD Intern / Resident / Fellow,Yes,Fentanyl Hydromorphone Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Propofol Dexmedetomidine,,No,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,7,6,5,1,4,3,4,Rotating medical resident staff,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2872958,Yes,USA,Battle Creek,Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Videos,Handouts,Videos Handouts,Videos Lectures,Lectures Handouts,Handouts,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse,Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Yes,Fentanyl Hydromorphone Morphine Ketamine Methadone Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Every other day,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Not a Barrier,3,8,8,4,6,2,none,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2872964,Yes,Ethiopia,Adigrat,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,3 - 5 years,No,,Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,,,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",Yes,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Non-Compliant,Videos Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Diazepam Propofol Ketamine,,Yes,Yes,No,Within 7-10 days of admission,Every other day,No,Yes,I don't know,I don't know,I don't know,No,No,No,Yes,No,Yes,6,4,1,1,5,3,3,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2872968,Yes,Ukraine,Zbarazh,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Non-academic Hospital District Hospital Community Hospital/Secondary,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,>15 years,No,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
SC-2872978,Yes,USA,San Antonio,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Private Non-academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Other,Clinical Nurse Specialist,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial,No,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on some patients,Lectures Simulations,Lectures,Lectures,Videos Lectures,Lectures,Lectures Simulations,Physician Advanced Practice Provider,Physician Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Yes,Fentanyl Hydromorphone Methadone Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,No,No,No,Within 4-6 days of admission,Variable,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,8,8,Not a Barrier,Not a Barrier,8,8,8,,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
SC-2872986,Yes,USA,"Richmond,VA",Adult,Medical ICU,,University/Academic Hospital,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",I don't know,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,Yes,Within 1-3 days of admission,Variable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,5,6,7,5,1,6,4,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
