Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2898746,Yes,Argentina,Buenos Aires,Adult,Medical-Surgical Mixed ICU,,Private University/Academic Hospital,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Videos Lectures,Lectures,Lectures Handouts,Simulations,Lectures,Lectures,Physician Registered Nurse,Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Registered Nurse,Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6,5,4,3,7,1,2,na,Completed
SC-2949664,Yes,Argentina,Buenos Aires,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 7-10 days of admission,Daily,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,1,4,4,1,4,3,4,"My Name is Rolando, Marcos MD",Completed
SC-2949651,Yes,Argentina,Buenos Aires,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial E: Early Mobility",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Lectures Simulations,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Yes,Fentanyl Hydromorphone Morphine Ketamine Methadone Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol Ketamine,,Yes,Yes,Yes,Within 4-6 days of admission,Variable,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,1,1,1,1,1,1,1,"ZARRA, FRANCISCO (MD)",Completed
SC-2881705,Yes,Argentina,Moron,Adult,Medical ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881726,Yes,Australia,Melbourne,Adult,Other,Mixed,Government,,>40 beds,1 nurse to 1 patient,Yes,Registered Nurse,,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2872991,Yes,Barbados,Bridgetown,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes, - , - ,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,Somewhat Familiar,C: Choice of Analgesia and Sedation,No,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,No,Midazolam Lorazepam Chloral hydrate,,No,No,No,Within 4-6 days of admission,Daily,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,1,6,1,5,1,5,6,,Completed
SC-2885624,Yes,Bosnia and Herzegovina,Banja Luka,Adult,Medical ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2899910,Yes,Brazil,Salvador,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures Handouts,Lectures Handouts,Lectures Handouts,Videos Lectures Handouts,Lectures Handouts,Lectures Handouts,Registered Nurse,Respiratory Therapist,Registered Nurse,Physician,Respiratory Therapist,Registered Nurse,Yes,Fentanyl Morphine Ketamine Methadone Paracetamol Other,Dipiron and Tramadol,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,4,8,6,6,7,4,6,Staff turnover,Completed
SC-2909890,Yes,Brazil,Sao Paulo,Pediatric,Surgical ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,Physiotherapist,,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2931811,Yes,Brazil,Barretos,Pediatric,Pediatric ICU,,Other,Holly House of Mercy,11 - 20 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,11 - 15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,"Occupational therapy, speech therapist","Nurses, physicians, physical therapist, psychologist, training MD, speech therapist",Somewhat Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Handouts,No,Handouts,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Registered Nurse,No,Fentanyl Morphine Ketamine Methadone Paracetamol,,Yes,No,Yes,Midazolam Diazepam Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Variable,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Not a Barrier,3,3,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed
